ID,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,StartDate
245,45,No,Research & Development,1 miles,Bachelors,Other,High,Very High,Married,"$19,202.00",0,Better,13/8/1997
246,31,No,Research & Development,3 miles,Masters,Medical,Medium,High,Divorced,"$13,675.00",9,Better,9/6/2019
247,33,No,Research & Development,5 miles,Masters,Life Sciences,High,Very High,Married,"$2,911.00",1,Good,4/3/2019
248,34,No,Research & Development,2 miles,Masters,Life Sciences,Very High,Low,Married,"$5,957.00",6,Better,12/10/2010
249,37,No,Research & Development,1 miles,College,Medical,High,Low,Married,"$3,920.00",2,Good,1/3/2018
250,45,No,Research & Development,7 miles,Masters,Life Sciences,Low,High,Married,"$6,434.00",4,Better,6/9/2018
251,37,Yes,Research & Development,10 miles,Bachelors,Medical,Low,High,Divorced,"$10,048.00",6,Better,13/8/2020
252,39,No,Research & Development,2 miles,Masters,Technical Degree,High,High,Single,"$10,938.00",0,Better,15/2/2002
253,29,No,Research & Development,15 miles,Bachelors,Life Sciences,High,Very High,Single,"$2,340.00",1,Better,6/8/2015
254,42,No,Research & Development,17 miles,College,Life Sciences,Very High,Low,Single,"$6,545.00",3,Better,16/3/2018
255,29,No,Sales,20 miles,College,Marketing,Very High,Very High,Divorced,"$6,931.00",2,Better,1/3/2018
256,25,No,Research & Development,1 miles,Bachelors,Life Sciences,Low,High,Married,"$4,898.00",0,Better,3/3/2017
257,42,No,Research & Development,2 miles,Bachelors,Medical,Very High,Low,Divorced,"$2,593.00",0,Better,23/2/2012
258,40,No,Research & Development,2 miles,College,Medical,Low,High,Divorced,"$19,436.00",0,Better,1/8/2000
259,51,No,Research & Development,1 miles,Bachelors,Life Sciences,High,Very High,Married,"$2,723.00",1,Good,20/6/2020
260,31,Yes,Research & Development,29 miles,College,Medical,High,Medium,Single,"$3,479.00",0,Best,13/1/2016
261,32,No,Research & Development,7 miles,Bachelors,Life Sciences,Medium,Medium,Married,"$2,794.00",1,Bad,15/3/2016
262,38,No,Sales,2 miles,College,Life Sciences,Very High,Very High,Married,"$5,249.00",3,Better,27/9/2013
263,32,No,Research & Development,2 miles,Below College,Technical Degree,Very High,Low,Single,"$2,176.00",4,Better,14/2/2015
264,46,No,Sales,2 miles,Bachelors,Technical Degree,High,Medium,Married,"$16,872.00",3,Good,7/6/2014
265,28,Yes,Research & Development,2 miles,Masters,Life Sciences,Low,High,Single,"$3,485.00",2,Bad,20/10/2021
266,29,No,Sales,2 miles,Bachelors,Medical,Low,Medium,Married,"$6,644.00",2,Better,5/11/2021
267,31,No,Research & Development,23 miles,Bachelors,Medical,Medium,Very High,Married,"$5,582.00",0,Better,28/12/2012
268,25,No,Research & Development,5 miles,College,Life Sciences,Medium,Low,Divorced,"$4,000.00",1,Better,21/8/2015
269,45,No,Research & Development,20 miles,College,Medical,High,Very High,Married,"$13,496.00",0,Better,2/6/2001
270,36,No,Research & Development,6 miles,Bachelors,Life Sciences,Very High,Very High,Married,"$3,210.00",0,Better,12/7/2006
271,55,No,Research & Development,1 miles,Bachelors,Medical,Very High,Low,Single,"$19,045.00",0,Better,6/10/1985
272,47,Yes,Research & Development,29 miles,Masters,Life Sciences,Low,Medium,Married,"$11,849.00",1,Good,12/1/2011
273,28,No,Research & Development,9 miles,Bachelors,Medical,Very High,Very High,Married,"$2,070.00",1,Good,19/10/2016
274,37,No,Sales,6 miles,Masters,Medical,High,Very High,Married,"$6,502.00",4,Best,20/7/2016
275,21,No,Research & Development,3 miles,College,Medical,Very High,High,Single,"$3,230.00",1,Best,11/12/2018
276,37,No,Research & Development,1 miles,Masters,Medical,Low,Very High,Divorced,"$13,603.00",2,Better,11/12/2016
277,35,No,Research & Development,22 miles,Bachelors,Life Sciences,Medium,Medium,Divorced,"$11,996.00",7,Good,26/3/2014
278,38,No,Sales,7 miles,College,Medical,Low,Low,Divorced,"$5,605.00",1,Better,19/9/2013
279,26,No,Research & Development,1 miles,Bachelors,Life Sciences,High,Medium,Divorced,"$6,397.00",1,Bad,4/6/2015
280,50,No,Research & Development,4 miles,Below College,Life Sciences,Low,Medium,Divorced,"$19,144.00",3,Good,19/8/2011
281,53,No,Research & Development,3 miles,Masters,Medical,High,High,Married,"$17,584.00",3,Good,15/2/2016
282,42,No,Sales,1 miles,Below College,Life Sciences,Medium,High,Married,"$4,907.00",1,Better,8/1/2001
283,29,No,Sales,2 miles,College,Life Sciences,Medium,Very High,Single,"$4,554.00",1,Good,17/5/2011
284,55,No,Research & Development,20 miles,College,Technical Degree,Medium,Very High,Married,"$5,415.00",3,Better,2/11/2011
285,26,No,Research & Development,11 miles,College,Medical,Low,Low,Married,"$4,741.00",1,Better,12/12/2016
286,37,No,Research & Development,1 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$2,115.00",1,Better,18/9/2004
287,44,Yes,Research & Development,24 miles,Bachelors,Life Sciences,Very High,High,Divorced,"$3,161.00",3,Bad,11/3/2020
288,38,No,Research & Development,23 miles,Masters,Life Sciences,Very High,Very High,Divorced,"$5,745.00",9,Better,16/12/2019
289,26,Yes,Research & Development,16 miles,Masters,Medical,Low,Medium,Divorced,"$2,373.00",2,Better,13/7/2018
290,28,No,Research & Development,8 miles,College,Life Sciences,Very High,Very High,Single,"$3,310.00",1,Better,2/2/2016
291,49,No,Research & Development,10 miles,Masters,Life Sciences,High,Low,Single,"$18,665.00",9,Better,8/4/2018
292,36,No,Research & Development,3 miles,Bachelors,Technical Degree,High,Medium,Single,"$4,485.00",4,Better,26/8/2013
293,31,No,Sales,5 miles,Bachelors,Marketing,Very High,Medium,Divorced,"$2,789.00",1,Good,10/8/2019
294,26,Yes,Sales,4 miles,Masters,Marketing,Very High,Very High,Single,"$5,828.00",1,Better,14/3/2013
295,37,No,Research & Development,9 miles,Bachelors,Medical,Medium,Very High,Married,"$2,326.00",1,Good,2/3/2017
296,42,No,Sales,26 miles,Bachelors,Marketing,High,Medium,Married,"$13,525.00",5,Best,18/8/2001
297,18,Yes,Research & Development,3 miles,Bachelors,Life Sciences,High,High,Single,"$1,420.00",1,Better,17/2/2021
298,35,No,Sales,16 miles,Bachelors,Marketing,High,Medium,Married,"$8,020.00",0,Good,5/4/2010
299,36,No,Research & Development,18 miles,Masters,Life Sciences,High,Very High,Married,"$3,688.00",4,Better,1/12/2020
300,51,No,Research & Development,2 miles,Bachelors,Medical,Very High,Medium,Divorced,"$5,482.00",5,Better,11/5/2017
301,41,No,Sales,2 miles,Masters,Life Sciences,Very High,Medium,Single,"$16,015.00",1,Better,16/12/1999
302,18,No,Sales,10 miles,Bachelors,Medical,Very High,High,Single,"$1,200.00",1,Better,2/2/2021
303,28,No,Research & Development,16 miles,College,Medical,Medium,Low,Single,"$5,661.00",0,Better,3/11/2013
304,31,No,Sales,7 miles,Bachelors,Technical Degree,Medium,Very High,Married,"$6,929.00",4,Good,11/7/2013
305,39,No,Research & Development,1 miles,Bachelors,Medical,High,Very High,Divorced,"$9,613.00",0,Good,5/9/2003
306,36,No,Research & Development,24 miles,Masters,Life Sciences,Medium,Medium,Married,"$5,674.00",7,Better,24/8/2012
307,32,No,Sales,7 miles,Bachelors,Life Sciences,Very High,High,Married,"$5,484.00",1,Good,27/11/2008
308,38,No,Research & Development,25 miles,College,Life Sciences,Low,Medium,Married,"$12,061.00",3,Better,14/4/2011
309,58,No,Research & Development,1 miles,Masters,Life Sciences,Very High,High,Divorced,"$5,660.00",2,Better,13/6/2016
310,31,No,Research & Development,5 miles,Masters,Technical Degree,High,Very High,Married,"$4,821.00",0,Better,7/3/2016
311,31,No,Human Resources,2 miles,Bachelors,Human Resources,Low,Low,Married,"$6,410.00",3,Better,3/6/2019
312,45,No,Research & Development,7 miles,Bachelors,Life Sciences,Low,Low,Divorced,"$5,210.00",1,Better,5/12/1997
313,31,No,Research & Development,2 miles,Masters,Life Sciences,High,Very High,Divorced,"$2,695.00",0,Bad,9/3/2019
314,33,No,Research & Development,5 miles,Masters,Life Sciences,Very High,Medium,Married,"$11,878.00",6,Better,12/8/2011
315,39,No,Research & Development,10 miles,Below College,Medical,High,Low,Married,"$17,068.00",1,Better,15/11/2000
316,43,No,Research & Development,10 miles,Masters,Life Sciences,High,Very High,Single,"$2,455.00",0,Better,11/1/2013
317,49,No,Research & Development,1 miles,College,Technical Degree,High,High,Single,"$13,964.00",7,Better,10/10/2014
318,52,Yes,Research & Development,8 miles,Masters,Medical,High,Medium,Married,"$4,941.00",2,Good,7/5/2013
319,27,No,Research & Development,5 miles,Bachelors,Life Sciences,High,Medium,Single,"$2,478.00",1,Good,7/7/2017
320,32,No,Sales,8 miles,College,Technical Degree,High,Medium,Married,"$5,228.00",1,Better,18/5/2008
321,27,No,Sales,2 miles,Bachelors,Life Sciences,Very High,High,Single,"$4,478.00",1,Better,20/8/2016
322,31,No,Sales,7 miles,Bachelors,Marketing,Very High,Very High,Divorced,"$7,547.00",4,Better,21/5/2014
323,32,No,Research & Development,2 miles,Masters,Medical,Low,Very High,Single,"$5,055.00",7,Good,9/10/2014
324,28,Yes,Research & Development,2 miles,Masters,Medical,Low,Very High,Married,"$3,464.00",5,Good,15/7/2018
325,30,No,Research & Development,28 miles,College,Medical,Very High,Very High,Married,"$5,775.00",1,Better,6/1/2011
326,31,No,Research & Development,7 miles,College,Life Sciences,High,High,Married,"$8,943.00",1,Better,3/10/2011
327,39,No,Research & Development,7 miles,College,Medical,High,Very High,Married,"$19,272.00",1,Better,6/7/2000
328,39,Yes,Sales,3 miles,College,Medical,Very High,High,Married,"$5,238.00",4,Good,16/6/2020
329,33,No,Sales,10 miles,Bachelors,Marketing,Medium,Very High,Single,"$4,682.00",3,Good,10/3/2014
330,47,No,Research & Development,5 miles,PhD,Life Sciences,Very High,High,Married,"$18,300.00",4,Better,20/4/2018
331,43,No,Research & Development,10 miles,Masters,Life Sciences,High,High,Divorced,"$5,257.00",1,Best,22/11/2012
332,27,No,Sales,1 miles,Below College,Marketing,High,Medium,Married,"$6,349.00",0,Better,16/12/2016
333,54,No,Research & Development,20 miles,Masters,Life Sciences,Very High,High,Single,"$4,869.00",3,Good,5/7/2017
334,43,No,Research & Development,7 miles,Bachelors,Life Sciences,High,Low,Married,"$9,985.00",8,Good,17/7/2020
335,45,No,Research & Development,8 miles,Masters,Other,Very High,Very High,Married,"$3,697.00",9,Better,12/1/2011
336,40,No,Sales,1 miles,College,Medical,Medium,Very High,Married,"$7,457.00",2,Good,16/8/2017
337,29,Yes,Research & Development,8 miles,Masters,Other,Medium,Low,Married,"$2,119.00",1,Good,11/12/2014
338,29,No,Research & Development,9 miles,PhD,Other,Medium,Very High,Single,"$3,983.00",0,Better,1/1/2018
339,30,No,Sales,5 miles,Bachelors,Marketing,Very High,High,Divorced,"$6,118.00",1,Better,1/6/2011
340,27,No,Sales,8 miles,Masters,Marketing,Medium,Medium,Married,"$6,214.00",1,Better,19/2/2013
341,37,No,Research & Development,5 miles,College,Medical,Very High,Very High,Divorced,"$6,347.00",7,Good,4/2/2015
342,38,No,Research & Development,15 miles,College,Life Sciences,High,Very High,Divorced,"$11,510.00",0,Better,18/11/2010
343,31,No,Research & Development,7 miles,Masters,Medical,High,Very High,Single,"$7,143.00",1,Good,5/10/2010
344,29,No,Sales,10 miles,Below College,Marketing,Very High,Medium,Divorced,"$8,268.00",1,Better,23/8/2014
345,35,No,Research & Development,5 miles,Masters,Technical Degree,High,Medium,Single,"$8,095.00",0,Better,6/10/2005
346,23,No,Research & Development,26 miles,Below College,Life Sciences,High,Very High,Divorced,"$2,904.00",1,Good,22/9/2017
347,41,No,Research & Development,6 miles,Bachelors,Medical,Very High,Medium,Single,"$6,032.00",6,Better,5/8/2016
348,47,No,Sales,4 miles,Below College,Medical,Medium,High,Single,"$2,976.00",3,Better,7/10/2021
349,42,No,Research & Development,23 miles,PhD,Life Sciences,Low,Very High,Single,"$15,992.00",2,Better,8/6/2020
350,29,No,Sales,2 miles,Bachelors,Life Sciences,Very High,High,Married,"$4,649.00",1,Good,22/4/2017
351,42,No,Human Resources,2 miles,Below College,Technical Degree,High,High,Divorced,"$2,696.00",0,Better,5/5/2018
352,32,No,Research & Development,2 miles,Bachelors,Medical,High,Medium,Married,"$2,370.00",1,Better,1/4/2013
353,48,No,Sales,29 miles,Below College,Medical,Low,High,Married,"$12,504.00",3,Bad,22/1/2021
354,37,No,Research & Development,6 miles,Bachelors,Medical,High,Low,Divorced,"$5,974.00",4,Better,10/11/2014
355,30,No,Sales,25 miles,College,Technical Degree,Very High,High,Married,"$4,736.00",7,Best,2/6/2019
356,26,No,Sales,1 miles,Bachelors,Life Sciences,High,High,Married,"$5,296.00",1,Better,9/2/2013
357,42,No,Research & Development,2 miles,Masters,Other,Low,Very High,Single,"$6,781.00",3,Better,16/6/2020
358,21,Yes,Sales,1 miles,Below College,Technical Degree,Low,Medium,Single,"$2,174.00",1,Better,3/12/2018
359,36,No,Sales,1 miles,PhD,Medical,Very High,Very High,Single,"$6,653.00",4,Better,25/5/2020
360,36,No,Sales,3 miles,Masters,Medical,Low,Very High,Married,"$9,699.00",4,Better,5/6/2008
361,57,No,Research & Development,1 miles,Masters,Medical,Very High,High,Married,"$6,755.00",2,Better,16/7/2018
362,40,No,Research & Development,10 miles,Masters,Life Sciences,Very High,High,Married,"$2,213.00",3,Better,24/5/2014
363,21,No,Sales,9 miles,College,Medical,Low,Very High,Single,"$2,610.00",1,Good,18/1/2018
364,33,Yes,Sales,5 miles,Bachelors,Marketing,Very High,High,Single,"$2,851.00",1,Better,23/2/2020
365,37,No,Research & Development,10 miles,Bachelors,Medical,High,Low,Married,"$3,452.00",6,Better,12/8/2016
366,46,No,Research & Development,7 miles,Masters,Medical,High,High,Married,"$5,258.00",2,Best,20/5/2020
367,41,Yes,Sales,4 miles,Bachelors,Marketing,Low,Medium,Single,"$9,355.00",1,Better,17/6/2013
368,50,No,Research & Development,10 miles,Bachelors,Technical Degree,Very High,Very High,Single,"$10,496.00",6,Better,9/2/2017
369,40,Yes,Sales,22 miles,College,Marketing,High,High,Married,"$6,380.00",2,Better,17/8/2015
370,31,No,Research & Development,9 miles,Masters,Life Sciences,High,Medium,Single,"$2,657.00",0,Better,23/10/2019
371,21,Yes,Sales,12 miles,Bachelors,Life Sciences,High,Medium,Single,"$2,716.00",1,Better,22/10/2020
372,29,No,Research & Development,23 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$2,201.00",9,Better,7/4/2018
373,35,No,Research & Development,9 miles,Masters,Life Sciences,High,Medium,Single,"$6,540.00",9,Better,11/3/2020
374,27,No,Research & Development,1 miles,College,Medical,Very High,Medium,Divorced,"$3,816.00",1,Better,5/4/2016
375,28,No,Sales,9 miles,Masters,Life Sciences,Medium,Very High,Single,"$5,253.00",1,Better,8/5/2014
376,49,No,Research & Development,7 miles,Bachelors,Other,Medium,High,Single,"$10,965.00",8,Better,26/7/2016
377,51,No,Sales,14 miles,College,Life Sciences,High,Very High,Married,"$4,936.00",4,Good,10/3/2014
378,36,No,Research & Development,2 miles,Bachelors,Life Sciences,Very High,High,Married,"$2,543.00",4,Better,27/11/2019
379,34,Yes,Sales,19 miles,Bachelors,Marketing,Low,Very High,Single,"$5,304.00",8,Good,7/12/2016
380,55,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Very High,Single,"$16,659.00",2,Better,15/10/2016
381,24,No,Sales,10 miles,Masters,Marketing,Very High,High,Divorced,"$4,260.00",1,Best,4/2/2016
382,30,No,Sales,2 miles,Below College,Technical Degree,High,Medium,Married,"$2,476.00",1,Better,5/7/2020
383,26,Yes,Research & Development,3 miles,Below College,Technical Degree,High,Low,Single,"$3,102.00",0,Better,4/12/2015
384,22,No,Research & Development,11 miles,Bachelors,Medical,Low,Medium,Married,"$2,244.00",1,Better,23/11/2019
385,36,No,Sales,2 miles,College,Medical,Medium,High,Married,"$7,596.00",1,Better,3/6/2011
386,30,Yes,Research & Development,4 miles,Bachelors,Technical Degree,High,Very High,Single,"$2,285.00",9,Better,21/8/2020
387,37,No,Research & Development,14 miles,Bachelors,Life Sciences,Very High,Low,Divorced,"$3,034.00",1,Good,7/10/2003
388,40,No,Sales,2 miles,College,Marketing,Very High,Medium,Divorced,"$5,715.00",7,Better,17/6/2016
389,42,No,Research & Development,1 miles,Masters,Life Sciences,Medium,Low,Divorced,"$2,576.00",3,Better,8/4/2016
390,37,No,Research & Development,10 miles,Masters,Life Sciences,High,Medium,Single,"$4,197.00",2,Good,11/9/2020
391,43,No,Research & Development,12 miles,Bachelors,Life Sciences,Low,Medium,Divorced,"$14,336.00",1,Better,23/8/1996
392,40,No,Research & Development,2 miles,Bachelors,Medical,Medium,High,Married,"$3,448.00",6,Better,3/10/2020
393,54,No,Research & Development,5 miles,College,Medical,Low,Low,Married,"$19,406.00",4,Good,23/7/2017
394,34,No,Sales,4 miles,Masters,Marketing,High,High,Married,"$6,538.00",9,Better,6/7/2018
395,31,No,Research & Development,7 miles,College,Medical,Medium,Low,Married,"$4,306.00",1,Bad,13/10/2008
396,43,No,Research & Development,21 miles,Bachelors,Medical,Very High,Very High,Married,"$2,258.00",7,Better,21/12/2018
397,43,No,Research & Development,8 miles,Masters,Other,High,High,Divorced,"$4,522.00",4,Better,17/12/2016
398,25,No,Sales,4 miles,College,Life Sciences,Medium,Very High,Single,"$4,487.00",1,Better,2/9/2016
399,37,No,Research & Development,25 miles,PhD,Medical,Medium,High,Married,"$4,449.00",3,Better,4/6/2008
400,31,No,Research & Development,1 miles,College,Life Sciences,Very High,Low,Married,"$2,218.00",1,Better,4/11/2017
401,39,No,Research & Development,1 miles,Below College,Life Sciences,Medium,High,Divorced,"$19,197.00",1,Better,28/2/2000
402,56,No,Sales,6 miles,Bachelors,Life Sciences,High,Low,Married,"$13,212.00",9,Good,21/10/2014
403,30,No,Sales,12 miles,Bachelors,Technical Degree,Medium,High,Single,"$6,577.00",0,Better,20/2/2016
404,41,No,Sales,1 miles,Bachelors,Marketing,Medium,Low,Married,"$8,392.00",1,Better,25/6/2011
405,28,No,Research & Development,17 miles,College,Medical,High,Low,Divorced,"$4,558.00",1,Better,28/10/2011
406,25,Yes,Research & Development,3 miles,Bachelors,Medical,Low,Low,Married,"$4,031.00",5,Better,13/11/2019
407,52,No,Research & Development,3 miles,Bachelors,Medical,Very High,High,Married,"$7,969.00",2,Better,19/1/2016
408,45,No,Research & Development,10 miles,College,Life Sciences,Low,Very High,Married,"$2,654.00",3,Good,8/3/2019
409,52,No,Research & Development,4 miles,College,Life Sciences,Very High,Very High,Married,"$16,555.00",2,Bad,8/7/2016
410,42,No,Research & Development,29 miles,College,Life Sciences,Low,High,Divorced,"$4,556.00",2,Better,8/4/2016
411,30,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Very High,Single,"$6,091.00",2,Better,4/9/2016
412,60,No,Research & Development,7 miles,Bachelors,Life Sciences,Low,Low,Married,"$19,566.00",5,Bad,25/6/1992
413,46,No,Research & Development,18 miles,Bachelors,Medical,High,High,Divorced,"$4,810.00",2,Good,17/4/2011
414,42,No,Research & Development,28 miles,Masters,Technical Degree,Very High,Very High,Married,"$4,523.00",0,Best,13/3/2015
415,24,Yes,Sales,1 miles,Below College,Technical Degree,Low,Medium,Single,"$3,202.00",1,Better,11/8/2016
416,34,Yes,Sales,6 miles,College,Marketing,Very High,High,Divorced,"$2,351.00",0,Good,21/5/2019
417,38,No,Research & Development,2 miles,College,Life Sciences,Very High,Very High,Married,"$1,702.00",1,Better,8/12/2020
418,40,No,Sales,2 miles,Masters,Life Sciences,High,High,Married,"$18,041.00",0,Better,8/4/2001
419,26,No,Research & Development,23 miles,Bachelors,Life Sciences,Low,Very High,Divorced,"$2,886.00",1,Bad,22/12/2018
420,30,No,Research & Development,3 miles,Bachelors,Life Sciences,High,Very High,Married,"$2,097.00",4,Bad,7/4/2016
421,29,No,Research & Development,3 miles,Masters,Medical,Medium,High,Married,"$11,935.00",1,Better,21/5/2011
422,29,Yes,Research & Development,25 miles,PhD,Technical Degree,High,Medium,Married,"$2,546.00",5,Best,26/9/2019
423,19,Yes,Human Resources,2 miles,College,Technical Degree,Low,Very High,Single,"$2,564.00",1,Best,15/1/2020
424,30,No,Sales,22 miles,Masters,Other,High,Low,Married,"$8,412.00",0,Better,25/4/2012
425,57,No,Sales,29 miles,Bachelors,Marketing,Low,Very High,Divorced,"$14,118.00",3,Good,27/6/2020
426,50,No,Research & Development,29 miles,Masters,Life Sciences,Medium,High,Married,"$17,046.00",0,Better,5/5/1994
427,30,No,Research & Development,2 miles,Bachelors,Medical,High,Very High,Single,"$2,564.00",0,Good,13/8/2010
428,60,No,Sales,28 miles,Bachelors,Marketing,High,Low,Married,"$10,266.00",4,Best,2/1/2003
429,47,No,Research & Development,2 miles,College,Medical,Low,Very High,Divorced,"$5,070.00",5,Better,16/6/2016
430,46,No,Research & Development,2 miles,Bachelors,Life Sciences,Low,High,Married,"$17,861.00",6,Bad,13/1/2018
431,35,No,Research & Development,22 miles,Bachelors,Life Sciences,Very High,High,Single,"$4,230.00",0,Better,27/2/2016
432,54,No,Research & Development,8 miles,Masters,Life Sciences,High,High,Single,"$3,780.00",7,Better,1/9/2020
433,34,No,Research & Development,2 miles,Masters,Life Sciences,Very High,High,Divorced,"$2,768.00",3,Better,26/5/2014
434,46,No,Sales,10 miles,Bachelors,Marketing,High,Very High,Married,"$9,071.00",2,Better,11/11/2018
435,31,No,Research & Development,9 miles,Below College,Life Sciences,High,Medium,Divorced,"$10,648.00",1,Best,20/12/2008
436,33,Yes,Research & Development,15 miles,Below College,Medical,Medium,High,Married,"$13,610.00",7,Best,24/9/2014
437,33,Yes,Research & Development,10 miles,Below College,Medical,Low,Very High,Divorced,"$3,408.00",7,Better,23/8/2017
438,30,No,Sales,7 miles,Below College,Marketing,Very High,Medium,Single,"$2,983.00",0,Better,17/7/2018
439,35,No,Research & Development,16 miles,Bachelors,Life Sciences,Very High,High,Married,"$7,632.00",4,Better,19/3/2013
440,31,Yes,Research & Development,20 miles,Bachelors,Life Sciences,Low,High,Married,"$9,824.00",3,Better,2/4/2020
441,34,Yes,Human Resources,23 miles,Bachelors,Human Resources,Medium,Low,Divorced,"$9,950.00",9,Better,4/7/2018
442,42,No,Research & Development,5 miles,College,Other,Medium,High,Married,"$2,093.00",4,Better,6/11/2019
443,36,No,Sales,10 miles,Masters,Medical,Medium,Very High,Single,"$9,980.00",1,Good,13/12/2011
444,22,Yes,Research & Development,4 miles,Below College,Technical Degree,High,High,Single,"$3,894.00",5,Better,4/10/2019
445,48,No,Sales,2 miles,PhD,Marketing,Medium,Very High,Married,"$4,051.00",2,Better,2/12/2012
446,55,No,Sales,18 miles,PhD,Life Sciences,Low,Medium,Single,"$16,835.00",3,Better,22/5/2011
447,41,No,Sales,10 miles,College,Life Sciences,Very High,Very High,Single,"$6,230.00",7,Better,16/6/2007
448,35,No,Sales,1 miles,Bachelors,Marketing,Medium,High,Married,"$4,717.00",9,Better,4/8/2010
449,40,No,Research & Development,6 miles,Bachelors,Life Sciences,Medium,High,Single,"$13,237.00",7,Better,10/7/2001
450,39,No,Research & Development,8 miles,Below College,Life Sciences,High,High,Married,"$3,755.00",1,Better,7/10/2013
451,31,No,Sales,2 miles,Below College,Life Sciences,Medium,Very High,Single,"$6,582.00",4,Best,5/10/2015
452,42,No,Research & Development,24 miles,Bachelors,Medical,Very High,Low,Married,"$7,406.00",1,Good,24/4/2011
453,45,No,Sales,2 miles,Bachelors,Other,Very High,Medium,Married,"$4,805.00",0,Best,8/8/2013
454,26,Yes,Human Resources,17 miles,Masters,Life Sciences,Medium,High,Divorced,"$2,741.00",0,Good,3/6/2014
455,29,No,Research & Development,19 miles,Bachelors,Technical Degree,Very High,Very High,Divorced,"$4,262.00",4,Best,4/6/2018
456,33,No,Research & Development,1 miles,PhD,Medical,Low,High,Divorced,"$16,184.00",4,Better,11/9/2015
457,31,No,Sales,7 miles,Bachelors,Life Sciences,High,Very High,Divorced,"$11,557.00",9,Good,22/8/2016
458,18,Yes,Sales,5 miles,Bachelors,Marketing,Medium,Medium,Single,"$1,878.00",1,Better,12/4/2021
459,40,No,Sales,28 miles,Bachelors,Other,High,Low,Divorced,"$10,932.00",3,Better,14/1/2020
460,41,No,Research & Development,2 miles,Masters,Other,Low,High,Single,"$6,811.00",2,Better,27/9/2013
461,26,No,Sales,29 miles,College,Medical,Low,High,Divorced,"$4,306.00",5,Better,16/8/2021
462,35,No,Sales,1 miles,Bachelors,Medical,Low,High,Single,"$4,859.00",1,Better,5/12/2016
463,34,No,Sales,21 miles,Masters,Life Sciences,Very High,Very High,Single,"$5,337.00",1,Better,17/3/2011
464,26,Yes,Research & Development,24 miles,Bachelors,Technical Degree,High,Very High,Single,"$2,340.00",1,Bad,17/9/2020
465,37,No,Research & Development,1 miles,Bachelors,Technical Degree,Medium,Very High,Single,"$7,491.00",4,Best,27/12/2015
466,46,No,Research & Development,18 miles,Below College,Medical,Low,High,Married,"$10,527.00",5,Good,7/3/2019
467,41,No,Sales,2 miles,PhD,Life Sciences,Medium,Low,Married,"$16,595.00",7,Better,27/11/2003
468,37,No,Sales,9 miles,Masters,Medical,Low,Medium,Divorced,"$8,834.00",1,Better,13/7/2012
469,52,No,Research & Development,6 miles,College,Technical Degree,Very High,Low,Divorced,"$5,577.00",3,Better,27/12/2011
470,32,Yes,Sales,11 miles,Masters,Other,Very High,High,Married,"$4,707.00",8,Better,28/5/2017
471,24,No,Sales,24 miles,Bachelors,Medical,Very High,Very High,Married,"$2,400.00",0,Better,21/6/2019
472,38,No,Research & Development,10 miles,Bachelors,Medical,High,High,Married,"$9,824.00",3,Better,13/7/2020
473,37,No,Research & Development,1 miles,Masters,Life Sciences,Medium,Medium,Married,"$6,447.00",6,Good,25/5/2015
474,49,No,Research & Development,18 miles,Masters,Life Sciences,Very High,High,Divorced,"$19,502.00",1,Better,21/6/1990
475,24,No,Research & Development,23 miles,Bachelors,Medical,Medium,Very High,Married,"$2,725.00",1,Better,24/12/2015
476,26,No,Sales,28 miles,College,Marketing,Low,Medium,Married,"$6,272.00",1,Best,4/12/2016
477,24,No,Research & Development,17 miles,College,Other,Very High,Medium,Married,"$2,127.00",1,Better,5/3/2020
478,50,No,Human Resources,3 miles,Bachelors,Medical,Low,Medium,Married,"$18,200.00",1,Better,7/3/1989
479,25,No,Sales,13 miles,Below College,Medical,Medium,High,Married,"$2,096.00",1,Better,14/10/2014
480,24,Yes,Research & Development,7 miles,Bachelors,Life Sciences,Low,High,Married,"$2,886.00",1,Better,20/5/2015
481,30,Yes,Sales,12 miles,Masters,Life Sciences,Medium,Low,Married,"$2,033.00",1,Best,17/12/2020
482,34,No,Research & Development,1 miles,College,Life Sciences,Medium,Very High,Married,"$3,622.00",1,Better,18/12/2015
483,31,Yes,Sales,13 miles,Masters,Medical,Medium,Low,Divorced,"$4,233.00",2,Bad,25/4/2018
484,35,No,Research & Development,25 miles,College,Other,Low,Very High,Single,"$3,681.00",4,Better,15/7/2018
485,31,No,Sales,6 miles,Masters,Medical,Low,Very High,Divorced,"$5,460.00",4,Best,12/4/2014
486,27,No,Research & Development,6 miles,Masters,Medical,Low,High,Divorced,"$2,187.00",0,Good,21/10/2016
487,37,No,Sales,2 miles,Bachelors,Marketing,Very High,High,Married,"$9,602.00",4,Good,7/1/2018
488,20,No,Research & Development,1 miles,Bachelors,Life Sciences,Very High,Medium,Single,"$2,836.00",1,Best,9/1/2020
489,42,No,Research & Development,2 miles,Masters,Life Sciences,High,Very High,Married,"$4,089.00",1,Better,1/3/2011
490,43,No,Research & Development,6 miles,Masters,Other,Medium,Very High,Divorced,"$16,627.00",4,Good,21/1/2020
